english	hindi
Aklima	अक्लिमा
Akriti	आकृति
Akshadha	अक्षधा
Akshara	अक्षरा
Akshata	अक्षता
Akshaya	अक्षया
Akshi	अक्षी
Akshita	अक्षिता
Akshiti	अक्षिति
Aksithi	अक्सिथी
Akula	अकुला
Akuti	अकुती
Alaina	अलैना
Alak	अलक
Alaka	अलका
Alaka	अलका
Alakananda	अलकनंदा
Alaknanda	अलकनंदा
Alankrita	अलंक्रिता
Alda	अल्दा
Alekhya	अलेख्या
Alia	अलिया
Alisha	अलीशा
Aliza	अलीजा
Alka	अल्का
Allanna	अल्लान्ना
Almas	अल्मस
Aloki	अलोकी
Alopa	आलोपा
Alpa	अल्पा
Alpana	अल्पना
Alpita	अल्पिता
Altthea	अल्त्ठेया
Amala	अमला
Amaldeepti	अमलदीप्ती
Amani	आमानी
Amani	अमानी
Amara	अमरा
Amari	अमारी
Amaris	अमरिस
Amarta	अमरता
Amatullah	अमातुल्लाह
Amba	अंबा
Ambalika	अंबालिका
Amberley	अम्बेरली
Ambika	अंबिका
Ambu	अंबू
Ambuda	अंबुडा
Ambuja	अँबुजा
Ameena	अमीना
Ameera	अमीरा
Ami	अमी
Amidi	अमिदी
Amisha	अमीषा
Amishi	अमिशी
Amishta	अमिष्ता
Amita	अमिता
Amithi	अमिति
Amiti	अमिति
Amitjyoti	अमितज्योती
Amiya	अमिया
Amla	अम्ला
Amlika	अम्लिका
Amoda	अमोदा
Amodini	अमोदिनी
Amolika	अमोलिका
Amoolya	अमूल्या
Amrapali	आम्रपाली
Amrita	अमृता
Amritambu	अम्रिताम्बू
Amritkala	अमृतकला
Amrusha	अमृशा
Amrutha	अमृता
Amshula	अंशुला
Amukta	अमुक्त
Amulya	अमुल्या
Amvi	अम्वी
Ana	आना
Anaan	अनान
Anagha	अनाघा
Anagi	अनागी
Anahita	अनाहिता
Anal	अनल
Anala	अनला
Anamika	अनामिका
Ananda	आनंदा
Anandalakshmi	आनंदालक्ष्मी
Anandamaye	आनंदमयी
Anandamayi	आनंदमयी
Anandani	अनंदानी
Anandi	आनंदी
Anandini	आनंदिनी
Anandita	आनंदिता
Anandmayee	आनंदमयी
Anangee	अनंगी
Ananta	अनंता
Anantha	अनंता
Ananti	अनंती
Anantya	अनंता
Ananya	अनन्या
Anarghya	अनार्घ्या
Anasuya	अनसूया
Anathi	अनथी
Anavi	अनवी
Anbar	अंबर
Anchal	आँचल
Anchala	अंचला
Anchita	अंचिता
Aneesa	अनीसा
Anemone	अनेमोने
Angaja	अंगाजा
Angana	अंगना
Angarika	अंगारिका
Angha	अनघ
Angira	अंगिरा
Angoori	अंगूरी
Anhithi	अनहिति
Ania	अनिया
Aniha	अनिहा
Anika	अनीका
Anilaja	अनीलजा
Anima	अनिमा
Anindita	अनिंदिता
Aninditha	अनिंदिथा
Anisha	अनिशा
Anishka	अनिश्का
Anita	अनीता
Aniya	अनिया
Anjali	अंजली
Anjalika	अंजलिका
Anjana	अंजना
Anjani	अंजनी
Anjika	अंजिका
Anjini	अंजिनी
Anju	अंजू
Anjushri	अंजूश्री
Ankal	अंकल
Ankita	अंकिता
Ankitha	अंकिता
Ankolika	अंकोलिका
Anna	अन्ना
Annada	अंनदा
Annapoorna	अन्नपूर्णा
Annapurna	अन्नपूर्णा
Annika	अन्निका
Annisa	अन्निसा
Annjaya	अन्न्जय
Anokhi	अनोखी
Ansha	अन्षा
Anshi	अंशी
Anshika	अन्शिका
Anshita	अन्शिता
Anshula	अंशुला
Anshumala	अन्शुमाला
Anshumali	अंशुमाली
Ansuya	अन्सुया
Antara	अंतरा
Antariksha	अंतरिक्ष
Antini	अंतिनी
Anubhuti	अनुभूति
Anudeepthi	अनुदीप्थी
Anuga	अनुगा
Anugraha	अनुग्रहा
Anuja	अनुजा
Anukampa	अनुकम्पा
Anukeertana	अनुकीरताना
Anukriti	अनुकृति
Anula	अनुला
Anulata	अनुलाता
Anulekha	अनुलेखा
Anuloma	अनुलोमा
Anumati	अनुमति
Anumegha	अनुमेघा
Anumeha	अनुमेहा
Anumita	अनुमिता
Anunitha	अनूनिता
Anupa	अनुपा
Anupama	अनुपमा
Anuprabha	अनुप्रभा
Anupriya	अनुप्रिया
Anuradha	अनुराधा
Anuragini	अनुरागिनी
Anurati	अनुरती
Anusha	अनुशा
Anushka	अनुष्का
Anushri	अनुश्री
Anusri	अनुश्री
Anusuya	अनुसुया
Anuttara	अनुत्तारा
Anuva	अनुवा
Anvi	अन्वी
Anvita	अन्विता
Anwaar	अनवार
Anwesha	अन्वेशा
Anwita	अन्विता
Anya	अन्या
Aolani	ओलानी
Apala	अपला
Apara	अपरा
Aparajita	अपराजिता
Aparijita	अपरिजिता
Aparna	अपर्णा
Aparoopa	अपारूपा
Apeksha	अपेक्षा
Apinaya	अपिनाया
Apsara	अप्सरा
Apurba	अपुरबा
Apurva	अपूर्व
Aqilah	अकिलाह
Aqsa	अक्सा
Araceli	अरासेली
Aradhana	आराधना
Arathi	अरथी
Arati	आरती
Archa	अर्चा
Archan	अर्चन
Archana	अर्चना
Archini	अर्चिनी
Archisha	अर्चिषा
Archita	अर्चिता
Ardra	आर्द्र
Areebah	अरीबाह
Areej	अरीज
Arianna	अरिअन्ना
Arij	अरिज
Ariktha	अरिक्था
Ariona	अरिओना
Arja	अर्ज
Arjuni	अर्जुनी
Arkita	अर्किता
Armin	अर्मिन
Armita	अर्मिता
Arni	अरनी
Arogyada	अरोग्यदा
Arohi	आरोही
Aroob	अरूब
Arpana	अर्पना
Arpita	अर्पिता
Arshia	अर्शिया
Arshiya	अर्शिया
Artana	अर्ताना
Arti	आरती
Aruna	अरुणा
Arundhathi	अरुंधथी
Arundhati	अरुंधती
Aruni	अरुनी
Arunima	अऋुणिमा
Arushi	अऋषि
Arwa	अरवा
Aryahi	अर्याही
Aryama	अर्यामा
Aryana	अर्याना
Asah	असह
Asalah	असलाह
Asarat	असरत
Asavari	असावरी
Aseelah	असीलाह
Aseema	असीमा
Asfaq	अस्फक
Asgari	असग़री
Asha	आशा
Ashakiran	आशाकिरण
Ashalata	आशालता
Ashani	अशनी
Ashavari	आशावारी
Ashfina	अश्फिना
Ashika	अशिका
Ashima	अशिमा
Ashiqa	अशिका
Ashira	अशिरा
Ashis	अशिस
Ashita	अशिता
Ashlesha	आश्लेषा
Ashley	अश्लेय
Ashmi	अश्मी
Ashmita	अश्मिता
Ashmiza	अश्मिज़ा
Ashna	अशना
Ashoka	अशोका
Ashrita	आश्रिता
Ashritha	आश्रिता
Ashwabha	अश्वाभा
Ashwina	अश्विना
Ashwini	अश्विनी
Asita	असीता
Asiya	आसिया
Askini	अस्किनी
Aslesha	आस्लेशा
Asma	आस्मा
Asmita	अस्मिता
Astha	आस्था
Asvika	अस्विका
Aswathi	अस्वथी
Asya	अस्या
Atasi	अतासी
Athalia	अथालिया
Athasha	अथाषा
Atheeva	अथीवा
Atif	आतिफ
Atiriya	अतीरिया
Atmaja	आत्मजा
Atmikha	अत्मिखा
Atreyi	अत्रेयी
Atula	अतुला
Auhna	औहना
Avani	अवनी
Avanija	अवानीजा
Avanti	अवंती
Avantika	अवंतिका
Avapya	अवाप्या
Avasa	अवसा
Avigna	अविग्ना
Avinashi	अविनाशी
Avinashika	अविनाशिका
Avipsa	अविप्सा
